policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,budget_gb,seed,full_warm_gb,n_apps
Planner-LRU,27087912,12495810846.0,90613408,2.1677594462524246,0.29893933577688636,0.8380103862720125,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23228390657638706,767.8218851755536,767.9924926757812,768.001708984375,257988.153418986,202.96598892013233,970.7878740956859,68196.57227716447,24274,1.0,20456081.0,1.6370351033721144,0.00261619780557859,79.70877717487258,768,0,3831.79296875,24274
Planner-Popularity,37793544,12495810846.0,90613408,3.0244971267389174,0.41708555978823797,0.8380114455932373,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.23265550804640933,767.8885998619927,767.9935302734375,768.0010375976562,258010.56955362955,310.1874823411306,1078.0760822031234,104222.99406661987,24274,1.0,28585513.0,2.287607691272826,0.0036755190303028374,111.21112536635317,768,0,3831.79296875,24274
BALM-JIT (ours),9502817,12495810846.0,90613408,0.7604802215009457,0.1048720847139973,0.838008435089488,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23160084290140054,767.8012171033829,767.9915771484375,768.00146484375,257981.20894673665,90.23303537099135,858.0342524743743,30318.29988465309,24274,1.0,6620767.0,0.5298389261485464,0.0006650152810702183,27.9629497757742,768,0,3831.79296875,24274
Oracle knapsack,5052721,12495810846.0,90613408,0.4043531918232751,0.05576129528204038,0.8380080013189501,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23146577902791132,669.9238813460819,767.9580078125,768.0003662109375,225094.42413228352,50.3942882756747,720.3181696217566,16932.480860626696,8490,0.3497569415835874,2649997.0,0.21207083178986208,0.00023124474328107782,14.868115797031509,768,0,3831.79296875,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.838009381044736,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23193114793820455,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073906,48.834646711943414,1024,0,3831.79296875,24274
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.838010282147825,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322198683620559,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19796045.0,1.584214521487964,0.0025120736180825882,74.23555479701974,1024,0,3831.79296875,24274
BALM-JIT (ours),2831252,12495810846.0,90613408,0.22657609297169415,0.031245398032044,0.8380079847727939,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.231475553714036,1023.7432591847011,1023.9915771484375,1024.0006103515625,343977.73508605955,26.343514315547452,1050.0867735002485,8851.420810023943,24274,1.0,2141387.0,0.17136839108647947,0.00021469858719366068,8.331230358172766,1024,0,3831.79296875,24274
Oracle knapsack,913375,12495810846.0,90613408,0.07309449632813368,0.01007991002832605,0.8380078071071179,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23142319085500176,710.3676825932095,1023.8554077148438,1023.999755859375,238683.54135131836,9.950486924558405,720.3181695177678,3343.363606651624,4429,0.18245859767652634,487400.0,0.03900507186022428,3.703291087729374e-05,2.687693475676503,1024,0,3831.79296875,24274
Planner-LRU,1306979,12495810846.0,90613408,0.10459337261962263,0.014423682199437859,0.8380079005045814,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23144648493279696,1535.3837173855493,1535.9913391113282,1536.0037841796875,515888.9290415446,10.20055261333473,1545.584269998884,3427.3856780804695,24274,1.0,1161748.0,0.09297099758611374,0.00013043037444776488,3.8459109688202546,1536,0,3831.79296875,24274
Planner-Popularity,5991460,12495810846.0,90613408,0.4794774884030763,0.06612111973539281,0.8380083866737851,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.231580528290687,1535.8094622717963,1535.99169921875,1536.004150390625,516031.9793233236,79.30838714774166,1615.1178494195378,26647.618081641198,24274,1.0,4950329.0,0.39615908571348424,0.0006165995780525725,17.63044527360256,1536,0,3831.79296875,24274
