policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,part,budget_gb,seed,full_warm_gb,n_apps,cold_median_s
Planner-LRU,192790,12495810846.0,90613408,0.0154283705456147,0.0021276100773077,0.8380077892007458,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314205905107031,1860.939362283737,2001.1899291992188,2047.9884033203125,625275.6257273356,1.4961387123494956,1862.4355009960864,502.70260734943054,24274,1.0,170524.0,0.0136464933809866,1.912653903794966e-05,0.5673030520604055,bigbudget,2048,0,3831.79296875,24274,
Planner-Popularity,184473,12495810846.0,90613408,0.0147627874872202,0.0020358245437584,0.8380077883859891,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314203347721959,1862.0009679521831,2001.1899291992188,2047.935791015625,625632.3252319336,1.4329564483603463,1863.4339244005437,481.4733666490763,24274,1.0,164024.0,0.0131263190537575,1.831178219252853e-05,0.5428294824562436,bigbudget,2048,0,3831.79296875,24274,
BALM-JIT (ours),192787,12495810846.0,90613408,0.015428130465156,0.0021275769696246,0.838007789198672,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314205918927663,1860.8047691012189,2001.1899291992188,2047.9853515625,625230.4024180095,1.496092589318915,1862.3008616905377,502.6871100111554,24274,1.0,170516.0,0.01364585316643,1.912446510174908e-05,0.5672942242728846,bigbudget,2048,0,3831.79296875,24274,
Oracle knapsack,0,12495810846.0,90613408,0.0,0.0,0.8380077700742069,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314157928148341,720.3181693788558,1069.167706298828,1450.2216796875,242026.90491129557,0.0,720.3181693788558,0.0,0,0.0,0.0,0.0,0.0,0.0,bigbudget,2048,0,3831.79296875,24274,
Planner-LRU,8545322,206386695.0,10951107,41.40442289654379,0.7803158164740789,2.686611010797604,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.3046642862067728,127.89046329222028,127.9923252105713,128.00006103515625,42971.19566618602,64.89817431332573,192.788637605546,21805.786569277447,15655,1.0,7002174.0,33.92744866620399,0.0511150287878847,38.989469361682715,lowfreq,128,0,2473.52978515625,15655,
Planner-Popularity,9222213,206386695.0,10951107,44.684144973589504,0.8421260973890585,2.686614995022485,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.3056833457931277,127.91632238304804,127.992622756958,128.00010681152344,42979.88432070414,70.68660348594662,198.60292586899465,23750.698771278065,15655,1.0,7526999.0,36.47036937143647,0.0550992536680664,42.07789843500479,lowfreq,128,0,2473.52978515625,15655,
BALM-JIT (ours),4258231,206386695.0,10951107,20.63229415055074,0.3888402332293895,2.6865786606944795,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.2947117063952401,127.88969269915232,127.99226417541504,128.00001525878906,42970.936746915184,35.386158518648394,163.27585121780072,11889.74926226586,15655,1.0,3188591.0,15.449595721274571,0.0187649256627747,19.428895378017067,lowfreq,128,0,2473.52978515625,15655,
Oracle knapsack,3481288,206386695.0,10951107,16.867792761544052,0.3178937070014931,2.6865722795484133,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.2930644902784427,55.540373070609,127.96385383605956,128.0000457763672,18661.565351724625,28.42237509924268,83.96274816985168,9549.91803334554,10068,0.6431172149473012,2345469.0,11.364438972192469,0.0123837795968659,15.883962221106902,lowfreq,128,0,2473.52978515625,15655,
TTL-20m,938717,206386695.0,10951107,4.548340676708835,0.0857189140787319,2.6865655684502627,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2911862828610237,582.6522157956683,742.8914154052734,804.63525390625,195771.14450734455,7.165747468571164,589.8179632642394,2407.691149439911,15655,1.0,860200.0,4.167904331236081,0.0056726814460779,4.283054250125473,lowfreq,128,0,2473.52978515625,15655,
Planner-LRU,5574002,206386695.0,10951107,27.00756461069353,0.5089898217595719,2.6865934128587012,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.2990304839265542,255.85052649653147,255.9920654296875,256.0001220703125,85965.77690283458,43.233012358726015,299.0835388552575,14526.292152531942,15655,1.0,4739985.0,22.966524077533197,0.0335170898845928,25.432321941871606,lowfreq,256,0,2473.52978515625,15655,
Planner-Popularity,7443257,206386695.0,10951107,36.064616471522065,0.6796807847827622,2.686604447553314,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.3028130550466509,255.91539836156937,255.99337768554688,256.0002136230469,85987.57384948731,58.715032281702946,314.63043064327235,19728.25084665219,15655,1.0,6008433.0,29.112501656175073,0.0445517844974948,33.96111237851896,lowfreq,256,0,2473.52978515625,15655,
BALM-JIT (ours),1429912,206386695.0,10951107,6.9283148315350465,0.1305723704462023,2.68656670860154,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2917279152582936,255.8460562125085,255.99223403930665,256.0000915527344,85964.27488740285,12.403946845586752,268.2500030580953,4167.726140117148,15655,1.0,1168558.0,5.661983201000433,0.0068128327237384,6.524214080394215,lowfreq,256,0,2473.52978515625,15655,
Oracle knapsack,771680,206386695.0,10951107,3.739000714169099,0.0704659355442331,2.68656220580434,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2905041344795027,76.93737392647871,255.90918426513673,255.99984741210935,25850.95763929685,7.025374425294262,83.96274835177297,2360.525806898872,5866,0.3747045672309166,532430.0,2.57976901078822,0.0023100355236987,3.5209198339188754,lowfreq,256,0,2473.52978515625,15655,
TTL-20m,938717,206386695.0,10951107,4.548340676708835,0.0857189140787319,2.6865655684502627,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2911862828610237,582.6522157956683,742.8914154052734,804.63525390625,195771.14450734455,7.165747468571164,589.8179632642394,2407.691149439911,15655,1.0,860200.0,4.167904331236081,0.0056726814460779,4.283054250125473,lowfreq,256,0,2473.52978515625,15655,
Planner-LRU,1572722,206386695.0,10951107,7.620268351116335,0.1436130612183772,2.6865693963916986,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.292237951042672,511.6932828292014,511.9920043945313,512.0007934570312,171928.94303061167,12.251492847714369,523.9447756769158,4116.501596832027,15655,1.0,1413109.0,6.846899699614842,0.0095006228824045,7.1758087329470275,lowfreq,512,0,2473.52978515625,15655,
Planner-Popularity,3548456,206386695.0,10951107,17.193240097187466,0.3240271508624653,2.68658193465676,0.2707156505526014,23.20025366154826,57.07322071880443,57.07322071880443,0.2958266749260413,511.8978879292806,511.9929504394531,512.0009765625,171997.69034423828,33.850985329834714,545.7488732591153,11373.931070824465,15655,1.0,3006064.0,14.565202471021692,0.0220388879432972,16.190427522014875,lowfreq,512,0,2473.52978515625,15655,
BALM-JIT (ours),361773,206386695.0,10951107,1.7528891578984778,0.0330352904048878,2.686561965260824,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2905481108602453,511.697415089418,511.9925231933594,512.000732421875,171930.33147004445,2.887901645538116,514.5853167349561,970.334952900807,15655,1.0,315678.0,1.5295462723505504,0.0020694920070852,1.650650180225396,lowfreq,512,0,2473.52978515625,15655,
Oracle knapsack,5556,206386695.0,10951107,0.026920339995754,0.0005073459696814,2.6865599069504498,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2900096393753235,83.88896059833822,281.8096954345703,511.9955749511719,28186.69076104164,0.0737877162084693,83.96274831454669,24.792672646045684,430,0.0274672628553177,3815.0,0.0184847186975885,1.118163325117136e-05,0.025350184788064,lowfreq,512,0,2473.52978515625,15655,
TTL-20m,938717,206386695.0,10951107,4.548340676708835,0.0857189140787319,2.6865655684502627,0.2575102346003887,23.20025366154826,57.07322071880443,57.07322071880443,0.2911862828610237,582.6522157956683,742.8914154052734,804.63525390625,195771.14450734455,7.165747468571164,589.8179632642394,2407.691149439911,15655,1.0,860200.0,4.167904331236081,0.0056726814460779,4.283054250125473,lowfreq,512,0,2473.52978515625,15655,
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.8380081744088494,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314884563943182,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,6620387.0,0.5298085159571084,0.0004043346424485,48.834646711943414,coldpen,1024,0,3831.79296875,24274,0.25
BALM-JIT (ours),2782757,12495810846.0,90613408,0.2226951923564672,0.0307102123341393,0.8380078250001383,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314259598285851,1023.7421067949324,1023.991455078125,1024.0009765625,343977.3478830973,26.104347414122746,1049.8464542090553,8771.060731145242,24274,1.0,1424399.0,0.1139901217739672,5.492593142675199e-05,8.188529172895162,coldpen,1024,0,3831.79296875,24274,0.25
