policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,budget_gb,seed,full_warm_gb,n_apps,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit
Planner-Popularity,50872793,12495810846.0,90613408,4.071187826621491,0.5614267703075465,0.8380127191764127,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2330838607475558,511.8917591897268,511.99310302734375,512.0009765625,171995.63108774822,405.13579967665294,917.0275588663798,136125.62869135538,24274,1.0,38501313.0,3.0811376288017795,0.0049491022058717,149.69806906860956,1042913,0.0834610104820724,374708,0.3592897969437527,65410391,51915706,4.154648837103564,0.9997885921674352,11913.265439753955,12790.0,13109.0,,,,512,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),27009921,12495810846.0,90613408,2.1615180745670517,0.2980786353383817,0.8380093725159952,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2318432851000845,511.8759597884284,511.99160919189455,512.0,171990.32248891194,255.05241579214731,766.9283755805757,85697.6117061615,24274,1.0,15843310.0,1.2678897108202911,0.0016024417882592,79.47928118268813,21138089,1.6916140345359385,2158002,0.102090685681189,48749920,48148010,3.85313210910299,0.9997577339617744,11913.265439753955,12790.0,13109.0,8.285523755994331e-05,0.0419508737234939,0.376537039851987,512,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,21411382,12495810846.0,90613408,1.713484804137695,0.2362937502582399,0.8380088522566581,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2316824490686242,511.8935942362225,511.9910888671875,512.0,171996.24766337077,208.42457655483767,720.3181707910602,70030.65772242546,13332,0.5492296284089973,11164966.0,0.8934967196285615,0.0010821824511828,63.00504360927035,25659399,2.053440094142731,0,0.0,43542627,47070781,3.766924898280427,0.999792176242622,4494.712698412698,6832.0,9355.0,8.321238215856754e-05,,,512,0,3831.79296875,24274,,,,,,,,,,,,,,,,,,,,
Planner-LRU,27087912,12495810846.0,90613408,2.167759446252425,0.2989393357768863,0.8380103862720125,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.232283906576387,767.8218851755536,767.9924926757812,768.001708984375,257988.153418986,202.96598892013233,970.787874095686,68196.57227716447,24274,1.0,20456081.0,1.6370351033721144,0.0026161978055785,79.70877717487258,24352393,1.94884456079898,18536978,0.7611973903344941,73107572,51440305,4.116604007051404,0.9997680796556688,11913.265439753955,12790.0,13109.0,,,,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,37793544,12495810846.0,90613408,3.024497126738918,0.4170855597882379,0.8380114455932373,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2326555080464093,767.8885998619927,767.9935302734375,768.0010375976562,258010.56955362955,310.1874823411306,1078.0760822031234,104222.99406661988,24274,1.0,28585513.0,2.287607691272826,0.0036755190303028,111.21112536635316,1396352,0.1117456095653834,654778,0.4689204441287011,102114532,39189896,3.136242736304301,0.9998549477369696,11913.265439753955,12790.0,13109.0,,,,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),8945381,12495810846.0,90613408,0.7158703913050574,0.0987202798950018,0.8380082961814889,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2315493589304869,767.8507395941114,767.9912109375,768.0,257997.8485036214,88.93809331559709,856.7888329097084,29883.199354040626,24274,1.0,5643653.0,0.4516436003676043,0.0005261072818846,26.322640920914797,24988004,1.9997104876150429,5559387,0.2224822358760627,74314033,33933385,2.7155808789201004,0.9998056505131656,11913.265439753955,12790.0,13109.0,3.205129633911732e-05,0.0419508737234939,0.376537039851987,768,0,3831.793,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
Oracle knapsack,5052701,12495810846.0,90613408,0.4043515912868836,0.0557610745641528,0.838008001317774,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314657789278778,669.9240995770409,767.9589233398438,768.0,225094.49745788577,50.39407003288941,720.3181696099304,16932.40753105084,8490,0.3497569415835874,2649986.0,0.2120699514948467,0.0002312435670503,14.868056945114702,28263113,2.2618070446422633,0,0.0,57297594,33315814,2.666158635929147,0.8722970046576053,4494.712698412698,6832.0,9355.0,1.553789584209733e-05,,,768,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.838009381044736,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2319311479382045,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321436,11913.265439753955,12790.0,13109.0,,,,1024,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.838010282147825,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322198683620559,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19796045.0,1.584214521487964,0.0025120736180825,74.23555479701974,1327523,0.1062374436009448,717614,0.5405661521495296,143436899,26555437,2.1251471654999152,0.9998857432680708,11913.265439753955,12790.0,13109.0,,,,1024,0,3831.793,24274,,,,,,,,,,,,,,,,,,,,
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.1936843498855248,0.0267095461192674,0.8380079267466239,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314559214481635,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,1689531.0,0.135207792501183,0.000156672417087,7.121796984427783,25170738,2.014334108463024,10181802,0.4045094744540267,104547568,27590981,2.20801845834855,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.0419508737234939,0.376537039851987,1024,0,3831.79296875,24274,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0
